,State,RegisteredUsers,AppOpens,Year,Quarter
318,chhattisgarh,3016487,64224101,2020,1
319,jammu & kashmir,735408,4476894,2020,1
320,goa,391900,7147233,2020,1
321,arunachal pradesh,149066,2598321,2020,1
322,delhi,7826197,178263986,2020,1
323,uttarakhand,1943606,32631265,2020,1
324,puducherry,255600,3057608,2020,2
325,tamil nadu,12150786,144907447,2020,2
326,uttar pradesh,22498519,383703534,2020,2
327,madhya pradesh,11374423,253770044,2020,2
328,andhra pradesh,14319675,494341698,2020,2
329,tripura,336666,4443221,2020,2
330,lakshadweep,3187,29202,2020,2
331,manipur,215496,3011491,2020,2
332,maharashtra,28765086,506354812,2020,2
333,dadra & nagar haveli & daman & diu,244814,4505127,2020,2
334,meghalaya,136211,2205253,2020,2
335,andaman & nicobar islands,32710,305072,2020,2
336,haryana,7682878,143650123,2020,2
337,rajasthan,13563201,329941181,2020,2
338,ladakh,53034,695673,2020,2
339,punjab,4225481,51289576,2020,2
340,assam,2550883,39304924,2020,2
341,jharkhand,4061035,76339276,2020,2
342,odisha,7258315,154682772,2020,2
343,bihar,10603767,218435035,2020,2
344,kerala,4728844,45832953,2020,2
345,karnataka,18655366,490510075,2020,2
346,chandigarh,336351,3451250,2020,2
347,telangana,13378191,367130505,2020,2
348,himachal pradesh,1249867,16125580,2020,2
349,west bengal,13222022,198589332,2020,2
350,gujarat,11392657,155264359,2020,2
351,sikkim,119921,1912335,2020,2
352,nagaland,130205,2119279,2020,2
353,mizoram,55574,739308,2020,2
354,chhattisgarh,3401658,68493384,2020,2
355,jammu & kashmir,845294,9856653,2020,2
356,goa,430639,5310126,2020,2
357,arunachal pradesh,177534,3387006,2020,2
358,delhi,8391139,142852253,2020,2
359,uttarakhand,2148567,31074793,2020,2
360,puducherry,285173,4222159,2020,3
361,tamil nadu,13643451,194683284,2020,3
362,uttar pradesh,24838116,450784508,2020,3
363,madhya pradesh,12564224,324850994,2020,3
364,andhra pradesh,15692405,696300382,2020,3
365,tripura,376731,5777908,2020,3
366,lakshadweep,3644,32128,2020,3
367,manipur,258563,3552375,2020,3
368,maharashtra,31409513,668197101,2020,3
369,dadra & nagar haveli & daman & diu,267946,4421499,2020,3
370,meghalaya,157741,2384534,2020,3
371,andaman & nicobar islands,41335,515565,2020,3
372,haryana,8398816,188614769,2020,3
373,rajasthan,14969412,436682870,2020,3
374,ladakh,58401,1015680,2020,3
375,punjab,4694233,58946732,2020,3
376,assam,2830011,41875278,2020,3
377,jharkhand,4480027,99318784,2020,3
378,odisha,7901755,205597666,2020,3
379,bihar,11763213,266652644,2020,3
380,kerala,5582300,64309022,2020,3
381,karnataka,20487550,693683212,2020,3
382,chandigarh,362588,4888739,2020,3
383,telangana,14590882,527781925,2020,3
384,himachal pradesh,1378634,18411750,2020,3
385,west bengal,14448366,246554831,2020,3
386,gujarat,12467847,184402472,2020,3
387,sikkim,134773,2156470,2020,3
388,nagaland,173106,2868642,2020,3
389,mizoram,68315,924865,2020,3
390,chhattisgarh,3799386,86918606,2020,3
391,jammu & kashmir,949819,11443454,2020,3
392,goa,474962,6129766,2020,3
393,arunachal pradesh,206046,4003421,2020,3
394,delhi,9044174,190025029,2020,3
395,uttarakhand,2365438,40377348,2020,3
396,puducherry,319626,6377136,2020,4
397,tamil nadu,15357586,288233552,2020,4
398,uttar pradesh,27249134,552220798,2020,4
399,madhya pradesh,13737947,405571446,2020,4
400,andhra pradesh,17076565,869078538,2020,4
401,tripura,409110,6017249,2020,4
402,lakshadweep,4179,41144,2020,4
403,manipur,288772,3783432,2020,4
404,maharashtra,34432631,952006770,2020,4
405,dadra & nagar haveli & daman & diu,296493,6196436,2020,4
406,meghalaya,176447,2745917,2020,4
407,andaman & nicobar islands,52396,887208,2020,4
408,haryana,9129873,236101307,2020,4
